시군구명,읍면동명,계
송파구,석촌동,31019
송파구,삼전동,29296
송파구,가락본동,25448
송파구,가락1동,27558
송파구,가락2동,31412
송파구,문정1동,19621
송파구,문정2동,28670
송파구,장지동,28875
송파구,위례동,44649
송파구,잠실본동,27820
송파구,잠실2동,34988
송파구,잠실3동,34002
송파구,잠실4동,21218
송파구,잠실6동,16511
송파구,잠실7동,9405
강동구,강일동,32855
강동구,상일제1동,39290
강동구,상일제2동,11942
강동구,명일제1동,25472
강동구,명일제2동,17211
강동구,고덕제1동,23856
강동구,고덕제2동,22739
강동구,암사제1동,34020
강동구,암사제2동,14957
강동구,암사제3동,17441
강동구,천호제1동,26310
강동구,천호제2동,33206
강동구,천호제3동,26248
강동구,성내제1동,19611
강동구,성내제2동,22816
강동구,성내제3동,22624
강동구,길동,44809
강동구,둔촌제1동,64
강동구,둔촌제2동,24096
